Date(NZST),RH(%)_m,Tmax(C)_m,Tmin(C)_m,Dir(DegT)_m,Speed(m/s)_m,Pmsl(hPa),Prec,RH(%)_s,Tmax(C)_s,Tmin(C)_s,Dir(DegT)_s,Speed(m/s)_s
2018-07-21,99,16.4,4.6,149.0,0.5,1021.1,0.0,,,,,
2018-07-22,97,16.5,7.6,341.0,1.9,1013.1,5.8,,,,,
2018-07-23,99,16.3,4.4,153.0,0.9,1016.2,1.4,,,,,
2018-07-24,99,14.7,3.1,150.0,0.4,1015.8,2.2,,,,,
2018-07-25,99,14.5,2.1,166.0,0.6,1014.4,0.0,,,,,
2018-07-26,75,15.8,6.9,273.0,3.4,1011.1,1.4,,,,,
2018-07-27,99,17.2,3.6,121.0,0.3,1012.0,0.0,,,,,
2018-07-28,76,15.6,6.7,268.0,2.8,1012.7,3.8,,,,,
2018-07-29,99,16.5,6.1,21.0,0.9,1009.9,1.6,,,,,
2018-07-30,71,17.3,9.9,251.0,1.2,1016.2,0.0,,,,,
2018-07-31,82,15.8,2.9,81.0,1.5,1017.3,0.0,,,,,
2018-01-08,98,16.5,6.3,172.0,0.1,1018.7,0.0,,,,,
2018-02-08,99,17.4,5.8,47.0,0.4,1020.5,0.2,,,,,
2018-03-08,98,16.8,9.4,219.0,0.2,1015.8,5.0,,,,,
2018-04-08,99,15.8,3.1,224.0,0.1,1016.1,0.2,,,,,
2018-05-08,92,15.5,7.8,219.0,2.5,1013.0,0.0,,,,,
2018-06-08,99,14.6,5.6,71.0,0.3,1010.7,0.6,,,,,
2018-07-08,98,16.5,6.5,132.0,1.1,1014.3,0.2,,,,,
2018-08-08,94,17.5,9.6,360.0,1.5,1013.5,0.0,,,,,
2018-09-08,96,15.6,6.0,255.0,0.5,1017.3,7.4,,,,,
2018-10-08,98,16.8,4.3,118.0,0.3,1022.1,0.2,,,,,
2018-11-08,98,17.5,5.3,138.0,0.9,1023.3,0.0,,,,,
2018-12-08,96,17.8,4.5,152.0,0.7,1021.9,0.0,,,,,
2018-08-13,98,17.0,4.9,101.0,1.4,1012.4,0.0,,,,,
2018-08-14,84,15.7,10.5,304.0,3.4,998.0,9.4,,,,,
2018-08-15,71,15.6,10.3,235.0,5.0,1002.8,5.6,,,,,
2018-08-16,75,15.8,9.4,257.0,1.3,1010.5,0.0,,,,,
2018-08-17,93,17.8,12.0,312.0,1.5,1005.2,8.6,,,,,
2018-08-18,75,15.6,8.3,240.0,2.9,1008.5,5.6,,,,,
2018-08-19,98,16.0,2.8,321.0,0.5,1012.5,0.0,,,,,
2018-08-20,87,15.6,7.2,35.0,3.9,1003.1,0.0,,,,,
2018-08-21,93,17.0,10.2,311.0,2.1,994.5,4.0,,,,,
2018-08-22,75,14.3,9.4,324.0,1.3,1004.5,6.2,,,,,
2018-08-23,86,15.9,10.1,282.0,2.9,1001.7,7.4,,,,,
2018-08-24,88,15.7,5.9,207.0,1.9,1006.6,1.6,,,,,
2018-08-25,63,15.6,7.1,227.0,4.0,1013.4,0.8,,,,,
2018-08-26,76,16.1,9.6,240.0,1.4,1020.4,0.0,,,,,
2018-08-27,81,15.0,6.6,179.0,0.5,1023.9,0.0,,,,,
2018-08-28,98,17.3,4.8,108.0,0.7,1022.3,0.0,,,,,
2018-08-29,96,17.1,11.7,48.0,4.1,1012.3,23.0,,,,,
2018-08-30,98,17.8,6.9,182.0,2.3,1008.7,4.0,,,,,
