Date,lungs_unscaled,lungs_monthly,isPartial,scale,lungs
2019-07-11,0,24.0,,0.24,0.0
2019-07-12,0,24.0,,0.24,0.0
2019-07-13,0,24.0,,0.24,0.0
2019-07-14,100,12.0,False,0.12,12.0
2019-07-15,0,12.0,,0.12,0.0
2019-07-16,0,12.0,,0.12,0.0
2019-07-17,0,12.0,,0.12,0.0
2019-07-18,0,12.0,,0.12,0.0
2019-07-19,55,12.0,,0.12,6.6
2019-07-20,0,12.0,,0.12,0.0
2019-07-21,0,49.0,False,0.49,0.0
2019-07-22,0,49.0,,0.49,0.0
2019-07-23,0,49.0,,0.49,0.0
2019-07-24,0,49.0,,0.49,0.0
2019-07-25,0,49.0,,0.49,0.0
2019-07-26,0,49.0,,0.49,0.0
2019-07-27,0,49.0,,0.49,0.0
2019-07-28,0,24.0,False,0.24,0.0
2019-07-29,0,24.0,,0.24,0.0
2019-07-30,48,24.0,,0.24,11.52
2019-07-31,0,24.0,,0.24,0.0
2019-08-01,24,24.0,,0.24,5.76
2019-08-02,0,24.0,,0.24,0.0
2019-08-03,0,24.0,,0.24,0.0
2019-08-04,100,57.0,False,0.57,56.99999999999999
2019-08-05,23,57.0,,0.57,13.11
2019-08-06,0,57.0,,0.57,0.0
2019-08-07,23,57.0,,0.57,13.11
2019-08-08,23,57.0,,0.57,13.11
2019-08-09,0,57.0,,0.57,0.0
2019-08-10,0,57.0,,0.57,0.0
2019-08-11,0,32.0,False,0.32,0.0
2019-08-12,0,32.0,,0.32,0.0
2019-08-13,0,32.0,,0.32,0.0
2019-08-14,0,32.0,,0.32,0.0
2019-08-15,0,32.0,,0.32,0.0
2019-08-16,0,32.0,,0.32,0.0
2019-08-17,25,32.0,,0.32,8.0
2019-08-18,0,21.0,False,0.21,0.0
2019-08-19,63,21.0,,0.21,13.229999999999999
2019-08-20,21,21.0,,0.21,4.41
2019-08-21,0,21.0,,0.21,0.0
2019-08-22,0,21.0,,0.21,0.0
2019-08-23,0,21.0,,0.21,0.0
2019-08-24,0,21.0,,0.21,0.0
2019-08-25,0,22.0,False,0.22,0.0
2019-08-26,20,22.0,,0.22,4.4
2019-08-27,21,22.0,,0.22,4.62
2019-08-28,0,22.0,,0.22,0.0
2019-08-29,0,22.0,,0.22,0.0
2019-08-30,0,22.0,,0.22,0.0
2019-08-31,0,22.0,,0.22,0.0
2019-09-01,0,21.0,False,0.21,0.0
2019-09-02,51,21.0,,0.21,10.709999999999999
2019-09-03,0,21.0,,0.21,0.0
2019-09-04,0,21.0,,0.21,0.0
2019-09-05,48,21.0,,0.21,10.08
2019-09-06,0,21.0,,0.21,0.0
2019-09-07,0,21.0,,0.21,0.0
2019-09-08,0,31.0,False,0.31,0.0
2019-09-09,0,31.0,,0.31,0.0
2019-09-10,48,31.0,,0.31,14.879999999999999
2019-09-11,48,31.0,,0.31,14.879999999999999
2019-09-12,100,31.0,,0.31,31.0
2019-09-13,0,31.0,,0.31,0.0
2019-09-14,0,31.0,,0.31,0.0
2019-09-15,53,61.0,False,0.61,32.33
2019-09-16,47,61.0,,0.61,28.669999999999998
2019-09-17,47,61.0,,0.61,28.669999999999998
2019-09-18,97,61.0,,0.61,59.17
2019-09-19,0,61.0,,0.61,0.0
2019-09-20,0,61.0,,0.61,0.0
2019-09-21,0,61.0,,0.61,0.0
