Date,AQI,WS
2018-06-17,41.0,3.8
2018-06-18,53.0,5.4
2018-06-19,43.0,2.4
2018-06-20,39.0,5.9
2018-06-21,26.0,7.5
2018-06-22,32.0,2.5
2018-06-23,69.0,3.1
2018-06-24,57.0,4.3
2018-06-25,32.0,4.0
2018-06-26,32.0,5.2
2018-06-27,80.0,2.3
2018-06-28,99.0,2.6
2018-06-29,65.0,2.5
2018-06-30,85.0,2.0
2018-07-01,71.0,2.0
2018-07-02,41.0,4.6
2018-07-03,41.0,3.1
2018-07-04,52.0,3.5
2018-07-05,43.0,2.9
2018-07-06,48.0,2.3
2018-07-07,57.0,4.2
2018-07-08,30.0,5.3
2018-07-09,30.0,6.5
2018-07-10,33.0,5.4
2018-07-11,37.0,4.3
2018-07-12,51.0,2.2
2018-07-13,81.0,2.5
2018-07-14,52.0,6.2
2018-07-15,38.0,7.6
2018-07-16,43.0,4.0
2018-07-17,47.0,3.8
2018-07-18,50.0,3.0
2018-07-19,44.0,3.8
2018-07-20,39.0,3.5
2018-07-21,44.0,2.8
2018-07-22,35.0,4.5
2018-07-23,36.0,2.4
2018-07-24,75.0,
2018-07-25,79.0,
2018-07-26,49.0,
2018-07-27,60.0,
2018-07-28,46.0,
2018-07-29,34.0,
2018-07-30,41.0,
2018-07-31,59.0,
2018-08-01,39.0,
2018-08-02,52.0,
2018-08-03,46.0,
2018-08-04,72.0,
2018-08-05,48.0,
2018-08-06,38.0,
2018-08-07,45.0,
2018-08-08,29.0,
2018-08-09,37.0,
2018-08-10,40.0,
2018-08-11,38.0,
2018-08-12,33.0,
2018-08-13,33.0,
2018-08-14,32.0,
2018-08-15,39.0,
2018-08-16,42.0,
2018-08-17,39.0,
2018-08-18,35.0,
2018-08-19,31.0,
2018-08-20,24.0,
2018-08-21,26.0,
2018-08-22,37.0,
2018-08-23,32.0,
2018-08-24,35.0,
2018-08-25,30.0,
2018-08-26,32.0,
2018-08-27,53.0,
2018-08-28,55.0,
2018-08-29,29.0,
2018-08-30,36.0,
2018-08-31,33.0,
2018-09-01,28.0,
2018-09-02,35.0,
2018-09-03,41.0,
2018-09-04,27.0,
2018-09-05,18.0,
2018-09-06,20.0,
2018-09-07,25.0,
2018-09-08,27.0,
2018-09-09,24.0,
2018-09-10,21.0,
2018-09-11,31.0,
2018-09-12,55.0,
2018-09-13,51.0,
2018-09-14,25.0,
2018-09-15,24.0,
2018-09-16,31.0,
2018-09-17,26.0,
