Date,NO,NO2,NOx,PM10,PM2.5,RH,SO2
2017-07-13,153.2,90.5,243.7,25.9,15.7,0.0,7.9
2017-07-14,65.3,74.2,139.5,21.3,15.2,0.0,4.3
2017-07-15,78.5,57.4,135.7,44.1,39.5,0.0,5.9
2017-07-16,119.9,62.4,178.2,41.9,38.4,0.0,5.2
2017-07-17,34.9,49.2,84.1,22.4,19.7,0.0,7.1
2017-07-18,75.5,52.0,127.5,34.6,20.2,0.0,4.4
2017-07-19,316.4,85.9,402.3,42.0,36.0,0.0,13.7
2017-07-20,5.2,22.0,26.2,28.5,22.6,0.0,1.8
2017-07-21,9.5,39.2,47.6,26.7,14.1,0.0,4.4
2017-07-22,5.9,31.9,37.8,26.9,14.0,0.0,3.3
2017-07-23,36.1,38.1,73.1,23.0,9.3,0.0,1.5
2017-07-24,38.8,60.4,98.9,29.4,18.1,0.0,4.6
2017-07-25,34.8,54.9,82.6,21.7,16.3,0.0,1.7
2017-07-26,57.7,66.4,124.1,42.0,29.4,0.0,4.3
2017-07-27,9.5,44.8,54.3,20.5,28.5,0.0,7.3
2017-07-28,44.8,56.6,96.7,23.1,15.0,0.0,7.5
2017-07-29,90.5,63.0,137.8,38.5,0.0,0.0,5.1
2017-07-30,56.7,62.3,104.8,32.2,0.0,0.0,9.1
2017-07-31,147.7,62.7,209.3,37.9,36.2,0.0,16.8
2017-08-01,41.7,61.1,97.1,31.4,21.8,0.0,15.6
2017-08-02,9.3,34.0,42.9,18.6,16.8,0.0,0.9
2017-08-03,61.8,58.4,117.8,21.0,12.7,0.0,2.6
2017-08-04,183.2,69.8,253.0,34.2,24.8,0.0,17.7
2017-08-05,100.7,53.0,151.6,26.5,22.6,0.0,6.0
2017-08-06,1.4,8.8,9.2,16.9,8.1,0.0,1.3
2017-08-07,21.9,48.8,70.7,16.4,20.4,0.0,1.9
2017-08-08,5.4,25.3,30.6,20.2,11.5,0.0,0.8
2017-08-09,6.3,38.9,42.8,20.8,10.0,0.0,0.9
2017-08-10,9.1,41.3,49.0,18.9,15.3,0.0,4.5
2017-08-11,37.1,60.8,97.8,24.2,12.1,0.0,1.9
2017-08-12,4.6,29.9,33.6,36.0,32.9,0.0,1.9
2017-08-13,13.7,36.9,50.6,28.2,17.4,0.0,7.0
2017-08-14,20.2,52.2,72.4,22.8,12.5,0.0,4.2
2017-08-15,18.5,53.9,69.7,23.8,13.4,0.0,1.1
2017-08-16,57.7,51.1,108.7,20.8,19.4,0.0,4.9
2017-08-17,3.1,28.1,31.3,17.4,12.3,0.0,3.8
2017-08-18,58.0,58.5,113.5,31.2,20.7,0.0,3.3
2017-08-19,2.3,16.1,18.0,15.6,13.3,0.0,6.1
2017-08-20,6.7,47.7,54.4,19.6,12.2,0.0,1.8
2017-08-21,41.7,54.8,94.3,21.7,17.5,0.0,8.7
2017-08-22,169.6,59.5,226.5,69.8,13.1,0.0,8.4
2017-08-23,385.4,86.0,471.4,52.6,24.5,0.0,15.6
2017-08-24,141.8,47.0,177.3,26.8,29.9,0.0,5.7
2017-08-25,76.1,53.3,128.4,56.6,21.1,0.0,2.8
2017-08-26,55.2,56.5,111.7,19.9,20.0,0.0,1.9
2017-08-27,0.7,3.0,3.5,28.2,10.3,0.0,0.0
2017-08-28,14.4,56.6,71.0,30.8,17.7,0.0,2.4
2017-08-29,134.8,68.1,202.9,16.4,24.9,0.0,5.1
2017-08-30,139.1,64.5,203.7,18.8,17.5,0.0,6.8
2017-08-31,72.2,64.2,125.3,30.0,21.5,0.0,3.4
2017-09-01,66.0,41.4,104.3,18.2,13.3,0.0,2.9
2017-09-02,44.4,52.2,96.6,9.6,9.5,0.0,5.0
2017-09-03,12.4,24.7,37.2,14.8,12.7,0.0,4.8
2017-09-04,66.6,73.1,139.7,20.8,24.7,0.0,2.6
2017-09-05,41.6,65.0,106.6,14.1,9.9,0.0,1.5
2017-09-06,10.5,29.4,40.0,15.0,9.9,0.0,1.0
2017-09-07,14.9,41.7,55.6,32.5,14.0,0.0,1.3
2017-09-08,22.6,47.8,70.3,26.8,11.1,0.0,1.1
2017-09-09,5.9,26.1,28.2,23.0,11.9,0.0,1.8
2017-09-10,6.4,25.6,28.2,19.6,10.3,0.0,0.8
2017-09-11,23.8,35.6,59.4,21.6,14.9,0.0,1.3
2017-09-12,21.7,34.2,50.8,70.8,10.0,0.0,0.8
2017-09-13,20.9,40.6,61.4,22.6,14.3,0.0,0.7
2017-09-14,14.7,37.9,50.5,27.5,17.0,0.0,0.6
2017-09-15,4.1,21.6,25.7,24.7,10.7,0.0,1.0
2017-09-16,8.4,17.7,23.4,27.0,14.3,0.0,0.4
2017-09-17,4.5,37.7,42.2,23.5,21.1,0.0,1.2
2017-09-18,16.9,38.8,52.6,18.5,14.1,0.0,0.7
2017-09-19,58.1,64.2,122.3,22.5,22.8,0.0,2.9
2017-09-20,47.2,52.9,100.2,20.7,17.7,0.0,3.5
2017-09-21,18.1,52.9,63.5,21.5,11.1,0.0,1.5
2017-09-22,85.3,60.6,146.0,19.1,12.6,0.0,4.7
2017-09-23,22.7,32.5,55.2,23.4,18.2,0.0,1.0
