Date,AQI,PM10,PM2.5,RH,TEMP,WS
2017-09-17,33,17.6,0.0,91.03,18,2.8
2017-09-18,23,15.6,0.0,88.25,13,3.1
2017-09-19,21,20.1,0.0,90.2,16,3.5
2017-09-20,29,23.9,0.0,91.55,18,2.1
2017-09-21,25,17.7,0.0,89.93,17,2.4
2017-09-22,27,65.1,0.0,88.47,15,4.8
2017-09-23,25,16.7,0.0,82.75,17,4.3
2017-09-24,22,15.2,0.0,78.58,19,2.5
2017-09-25,23,19.8,0.0,84.42,19,2.7
2017-09-26,30,19.5,0.0,88.4,20,2.9
2017-09-27,32,30.0,0.0,90.08,18,2.3
2017-09-28,44,29.7,0.0,86.08,18,3.9
2017-09-29,35,14.1,0.0,86.12,17,1.9
2017-09-30,18,17.0,0.0,89.02,17,3.2
2017-10-01,28,61.7,0.0,87.97,14,3.9
2017-10-02,39,32.6,0.0,83.3,17,5.7
2017-10-03,38,19.9,0.0,85.73,17,3.4
2017-10-04,24,19.3,0.0,79.02,17,3.3
2017-10-05,28,20.1,0.0,81.95,18,4.0
2017-10-06,31,17.7,0.0,89.72,18,1.0
2017-10-07,32,22.9,0.0,89.63,18,1.6
2017-10-08,32,19.5,0.0,90.07,19,1.8
2017-10-09,23,20.6,0.0,90.53,19,1.2
2017-10-10,21,14.9,0.0,85.7,19,2.4
2017-10-11,38,32.9,0.0,86.8,17,4.4
2017-10-12,49,49.1,0.0,76.03,17,3.7
2017-10-13,49,19.1,0.0,85.78,18,2.5
2017-10-14,32,27.6,0.0,89.62,20,3.0
2017-10-15,37,23.0,0.0,76.83,16,4.6
2017-10-16,33,21.9,0.0,81.65,17,4.3
2017-10-17,39,27.5,0.0,83.03,16,5.0
2017-10-18,37,22.2,0.0,86.0,17,4.0
2017-10-19,30,21.0,0.0,86.52,17,4.0
2017-10-20,27,18.1,0.0,77.35,18,3.4
2017-10-21,23,15.8,0.0,81.75,16,3.5
2017-10-22,26,16.2,0.0,83.73,18,3.2
2017-10-23,22,13.7,0.0,90.6,19,2.5
2017-10-24,19,20.9,0.0,88.73,19,3.5
2017-10-25,24,19.4,0.0,73.37,17,3.3
2017-10-26,22,17.4,0.0,85.02,19,3.2
2017-10-27,23,12.3,0.0,88.4,19,2.2
2017-10-28,16,9.9,0.0,90.7,20,0.8
2017-10-29,20,17.7,0.0,84.5,21,1.1
2017-10-30,26,21.3,0.0,87.55,20,1.6
2017-10-31,29,24.8,0.0,85.3,20,1.9
2017-11-01,26,18.3,0.0,75.72,20,1.5
2017-11-02,31,25.0,0.0,77.92,21,0.8
2017-11-03,45,29.6,0.0,87.1,19,1.8
2017-11-04,45,47.6,0.0,90.03,19,1.9
2017-11-05,31,58.2,0.0,91.5,22,2.5
2017-11-06,40,39.4,0.0,73.17,18,3.7
2017-11-07,34,21.9,0.0,85.07,19,1.5
2017-11-08,41,28.7,0.0,89.43,18,3.9
2017-11-09,40,21.6,0.0,75.9,18,3.3
2017-11-10,29,27.0,0.0,77.52,18,3.2
2017-11-11,29,13.5,0.0,78.87,18,2.7
2017-11-12,19,16.7,0.0,70.72,18,3.5
2017-11-13,24,20.0,0.0,88.38,19,1.0
2017-11-14,18,15.5,0.0,88.47,18,1.6
2017-11-15,14,11.2,0.0,90.75,19,1.2
2017-11-16,13,12.9,0.0,88.02,20,1.4
2017-11-17,19,17.4,0.0,79.02,22,2.5
2017-11-18,21,14.7,0.0,81.55,20,3.6
2017-11-19,16,12.7,0.0,85.05,19,3.0
