Date,AQI,NO,NO2,NOx,PM10,PM2.5,Temp,WS
2017-07-25,67.0,252.2,143.8,375.3,21.6,10.9,,
2017-07-26,56.0,258.1,123.5,368.2,28.6,17.7,,
2017-07-27,61.0,216.5,133.6,350.1,20.9,9.4,,
2017-07-28,64.0,257.7,138.4,354.2,16.0,8.8,,
2017-07-29,53.0,129.2,111.3,237.7,23.9,16.1,,
2017-07-30,38.0,112.4,60.9,173.3,35.0,26.2,,
2017-07-31,58.0,303.1,128.0,418.8,30.9,22.9,,
2017-08-01,64.0,252.2,140.6,357.1,27.2,15.6,,
2017-08-02,38.0,39.9,62.6,102.5,21.2,8.2,,
2017-08-03,28.0,44.1,57.5,101.6,15.1,5.8,,
2017-08-04,32.0,57.1,69.3,123.9,14.9,9.8,,
2017-08-05,26.0,61.6,54.3,101.3,17.5,8.8,,
2017-08-06,32.0,63.5,68.0,131.5,19.8,6.5,,
2017-08-07,59.0,178.0,127.1,276.6,19.5,8.6,,
2017-08-08,58.0,129.3,124.3,238.7,32.7,12.0,,
2017-08-09,69.0,214.8,146.1,360.9,32.1,13.0,,
2017-08-10,85.0,343.6,185.8,473.3,21.1,12.5,,
2017-08-11,72.0,312.3,160.7,473.0,26.1,12.0,,
2017-08-12,71.0,232.3,155.0,355.1,39.0,19.4,,
2017-08-13,60.0,135.6,84.6,210.4,32.0,15.7,,
2017-08-14,64.0,228.7,139.1,338.4,26.7,11.3,,
2017-08-15,77.0,317.1,170.7,485.5,29.1,10.0,,
2017-08-16,75.0,261.6,168.0,411.9,28.4,9.9,,
2017-08-17,61.0,291.1,135.6,393.5,42.3,8.9,,
2017-08-18,45.0,116.4,93.3,201.0,53.0,15.4,,
2017-08-19,56.0,120.7,83.1,199.9,86.3,17.5,,
2017-08-20,51.0,144.9,110.5,241.5,20.1,7.8,,
2017-08-21,33.0,109.8,73.4,183.1,23.2,11.3,,
2017-08-22,39.0,150.7,73.4,202.1,27.1,11.3,,
2017-08-23,56.0,384.9,129.8,514.5,36.2,11.9,,
2017-08-24,33.0,83.6,64.3,147.8,28.0,8.2,,
2017-08-25,31.0,42.3,66.5,106.2,16.0,6.5,,
2017-08-26,22.0,32.2,35.9,63.3,18.3,8.2,,
2017-08-27,42.0,11.7,30.0,37.2,31.9,12.7,,
2017-08-28,56.0,178.1,107.5,272.1,37.7,15.5,,
2017-08-29,70.0,255.3,149.8,365.9,29.3,9.7,,
2017-08-30,37.0,82.6,79.7,162.2,15.0,8.0,,
2017-08-31,55.0,180.4,114.9,283.3,13.2,7.4,,
2017-09-01,67.0,255.5,141.8,370.6,19.6,8.1,,
2017-09-02,26.0,17.6,41.7,57.8,9.7,4.5,,
2017-09-03,32.0,62.9,66.8,118.8,16.6,9.4,,
2017-09-04,74.0,187.5,150.3,320.1,15.3,7.8,,
2017-09-05,60.0,212.1,125.0,327.5,24.1,7.1,,
2017-09-06,62.0,189.3,133.1,281.0,19.0,7.4,,
2017-09-07,88.0,235.5,183.0,402.1,40.5,14.1,,
2017-09-08,67.0,226.7,143.7,370.3,27.5,11.0,,
2017-09-09,58.0,110.1,119.8,182.9,21.1,10.0,,
2017-09-10,49.0,142.9,101.8,201.6,23.9,10.7,,
2017-09-11,65.0,277.2,138.2,399.4,26.2,10.0,,
2017-09-12,60.0,133.6,129.0,260.5,24.0,9.8,,
2017-09-13,74.0,256.2,160.7,392.1,51.0,9.4,,
2017-09-14,53.0,178.8,112.7,278.8,30.1,0.0,,
2017-09-15,48.0,137.7,102.9,225.4,,,,
2017-09-16,46.0,124.0,98.2,193.7,,,,
2017-09-17,41.0,62.2,66.4,128.6,,,,
2017-09-18,62.0,232.1,133.7,339.8,,,,
