Date,BC(370),BC(880),NO,NO2,NOx,PM10,RH,Temp,WS
2017-05-24,9141.67,5775.17,80.1,42.1,107.3,18.4,91.5,18.0,3.7
2017-05-25,9429.0,6424.83,130.7,55.6,159.3,23.9,92.4,17.0,1.5
2017-05-26,6350.83,3028.17,108.1,37.1,145.3,23.7,91.3,18.0,3.3
2017-05-27,7219.0,3548.33,17.3,26.8,43.1,17.3,92.2,19.0,3.0
2017-05-28,8772.83,4446.5,32.6,35.2,60.6,19.5,92.1,17.0,1.4
2017-05-29,5473.33,3411.67,164.8,35.0,187.7,31.7,92.0,18.0,1.7
2017-05-30,16693.5,6517.5,75.3,36.4,104.1,23.2,88.1,17.0,1.9
2017-05-31,9460.83,6971.33,110.7,46.1,156.9,40.5,91.7,18.0,2.1
2017-06-01,2272.5,1448.5,157.2,45.2,193.6,26.0,92.1,17.0,2.0
2017-06-02,9381.17,4693.67,17.8,30.6,47.7,10.3,89.7,16.0,3.9
2017-06-03,10209.33,3918.17,21.4,28.3,48.0,28.6,89.1,15.0,2.4
2017-06-04,11259.67,5051.83,28.5,20.7,42.7,31.5,89.7,16.0,1.1
2017-06-05,9229.83,6287.0,36.4,29.4,60.6,37.1,92.0,16.0,2.4
2017-06-06,7169.0,5828.33,133.7,46.0,154.7,22.5,91.9,14.0,1.6
2017-06-07,13384.5,7709.83,148.8,35.3,183.8,21.9,91.9,15.0,2.2
2017-06-08,10557.33,6701.17,162.3,43.5,205.8,27.5,90.2,15.0,1.4
2017-06-09,2472.5,1036.33,164.2,43.0,199.6,31.8,91.1,13.0,1.3
2017-06-10,12847.0,5848.83,1.3,5.7,6.8,25.3,,,
2017-06-11,11852.67,8286.0,40.9,35.7,65.6,33.8,,,
2017-06-12,1599.67,1251.17,175.0,36.7,211.0,22.2,91.1,16.0,2.4
2017-06-13,770.17,455.33,8.4,30.2,38.6,19.3,91.1,17.0,5.0
2017-06-14,4430.5,3414.67,2.3,4.1,5.1,30.4,80.0,15.0,5.6
2017-06-15,1635.83,979.0,83.0,55.0,135.8,31.9,75.9,15.0,2.3
2017-06-16,19734.0,7802.5,7.2,21.2,28.4,17.6,89.7,16.0,2.7
2017-06-17,8498.83,3297.17,82.6,34.8,101.9,49.5,91.5,14.0,3.4
2017-06-18,12320.67,5577.0,38.6,35.1,60.9,22.7,92.3,16.0,2.1
2017-06-19,7897.5,5811.67,85.9,57.9,139.1,24.5,90.0,16.0,2.0
2017-06-20,1254.0,956.83,106.2,44.2,148.3,22.7,90.6,17.0,3.1
2017-06-21,2849.67,2130.17,12.6,30.5,39.7,26.3,76.3,16.0,3.6
2017-06-22,5432.0,5157.33,14.5,38.4,52.9,24.8,90.9,16.0,4.3
2017-06-23,2349.17,1333.0,58.2,51.6,109.8,15.0,91.2,18.0,2.0
2017-06-24,8658.83,4099.67,7.5,21.0,28.5,16.4,91.7,14.0,3.9
2017-06-25,13795.0,6110.5,19.2,32.5,44.9,31.7,88.3,16.0,4.0
2017-06-26,17875.33,10140.0,41.7,38.6,80.0,47.2,88.5,14.0,1.7
2017-06-27,13035.33,7917.0,165.9,49.0,212.0,43.5,90.7,14.0,1.8
2017-06-28,14854.33,7584.33,163.6,53.5,195.5,37.2,91.0,15.0,1.4
2017-06-29,12717.17,8897.0,123.7,46.9,154.9,39.7,91.3,16.0,1.0
2017-06-30,1764.33,1716.67,214.0,46.4,260.4,35.4,91.8,16.0,2.5
2017-07-01,4541.0,2186.0,14.5,20.5,35.1,19.4,90.6,16.0,4.6
2017-07-02,12843.5,5552.67,46.3,23.1,67.2,21.3,92.4,15.0,1.9
2017-07-03,7814.5,4809.83,36.4,42.6,72.6,22.4,92.2,14.0,1.9
2017-07-04,16099.5,9321.17,134.7,38.0,172.7,31.8,91.7,15.0,2.3
2017-07-05,8706.67,5230.33,169.6,56.2,220.1,31.5,91.4,15.0,1.9
2017-07-06,7742.5,5539.33,47.0,62.9,94.7,19.7,91.9,15.0,1.7
2017-07-07,18891.67,7859.17,94.9,58.6,153.5,12.3,91.8,16.0,3.4
2017-07-08,5178.5,1895.83,63.1,43.2,87.1,40.3,92.1,16.0,2.4
2017-07-09,4669.0,1921.17,17.0,32.1,47.3,17.3,91.0,15.0,4.0
2017-07-10,13307.17,6916.67,16.0,23.6,39.6,23.1,85.7,15.0,2.2
2017-07-11,17082.33,6905.17,106.5,50.5,157.0,36.8,91.6,15.0,2.5
2017-07-12,1216.0,777.67,35.0,49.5,74.3,30.8,91.8,12.0,3.1
2017-07-13,950.67,539.33,16.5,29.3,45.8,17.7,85.9,10.0,3.6
2017-07-14,16593.5,7339.5,8.3,20.0,21.6,18.6,83.0,11.0,2.5
2017-07-15,13367.83,6366.67,33.3,41.6,71.0,39.8,89.1,14.0,1.6
2017-07-16,10113.17,7596.0,50.6,38.1,64.6,43.5,90.5,16.0,2.8
2017-07-17,15087.17,9762.17,182.0,48.7,230.7,32.2,90.5,15.0,1.9
2017-07-18,15991.67,8021.17,159.6,53.9,191.8,36.0,90.1,16.0,2.0
2017-07-19,9281.67,4445.83,117.3,43.8,142.3,42.8,91.6,16.0,2.5
2017-07-20,1353.33,820.17,94.0,32.0,119.8,27.0,92.5,17.0,4.1
2017-07-21,671.33,534.5,1.2,5.9,6.1,28.2,89.1,14.0,4.5
2017-07-22,2943.33,1593.67,0.5,3.2,3.3,46.4,88.2,15.0,4.0
2017-07-23,12675.5,5524.17,14.6,31.7,46.3,19.0,86.9,16.0,2.6
2017-07-24,1738.17,1390.0,41.0,51.7,85.1,36.5,87.1,15.0,3.8
2017-07-25,12904.33,6180.0,15.2,40.0,52.2,17.1,90.9,16.0,2.5
2017-07-26,11715.5,8066.33,69.4,42.1,94.7,41.4,89.4,15.0,2.9
2017-07-27,7899.33,2852.5,166.7,47.5,201.3,28.3,91.1,14.0,2.7
2017-07-28,17380.67,6688.33,20.3,43.8,55.2,21.9,89.3,14.0,2.4
2017-07-29,11772.33,6201.67,41.4,34.9,70.5,38.5,89.2,11.0,2.0
2017-07-30,14248.33,7624.67,64.9,37.8,93.1,34.3,90.9,13.0,2.0
2017-07-31,15965.67,7931.5,179.3,46.6,215.8,51.4,91.1,14.0,2.3
2017-08-01,9202.5,6926.33,,,,36.9,86.3,16.0,3.6
2017-08-02,4743.83,2387.5,,,,24.2,91.4,15.0,3.2
2017-08-03,12636.67,7054.5,,,,12.5,86.8,14.0,3.7
2017-08-04,7866.83,4169.17,,,,33.3,88.0,13.0,1.6
2017-08-05,9473.5,3917.5,,,,21.8,90.2,14.0,2.5
2017-08-06,1379.67,987.67,,,,32.8,87.6,16.0,3.6
2017-08-07,7370.83,4985.33,,,,16.3,90.5,19.0,2.0
2017-08-08,1667.67,1398.17,,,,20.1,91.7,18.0,2.9
2017-08-09,2250.83,1303.0,,,,15.1,89.6,16.0,3.0
2017-08-10,6031.5,4497.17,,,,19.5,90.7,16.0,3.5
2017-08-11,610.5,347.33,,,,22.6,91.6,15.0,3.8
2017-08-12,7298.0,2488.0,,,,37.4,84.9,17.0,5.3
2017-08-13,9157.0,5418.83,,,,38.7,90.3,17.0,2.4
2017-08-14,3272.5,1523.0,,,,24.6,91.4,15.0,4.5
2017-08-15,7476.83,3735.5,,,,20.4,88.8,15.0,4.8
2017-08-16,9292.67,5987.0,,,,29.8,90.0,16.0,4.9
2017-08-17,5467.33,3790.67,,,,30.8,90.4,17.0,2.7
2017-08-18,5761.33,2860.67,,,,22.8,92.0,15.0,2.2
2017-08-19,1096.67,499.83,,,,17.1,91.6,15.0,3.1
2017-08-20,4358.83,2295.17,,,,19.6,89.5,15.0,4.9
