Date(NZST),Tmax(C),Tmin(C)
2018-07-25,14.5,2.1
2018-07-26,15.8,6.9
2018-07-27,17.2,3.6
2018-07-28,15.6,6.7
2018-07-29,16.5,6.1
2018-07-30,17.3,9.9
2018-07-31,15.8,2.9
2018-08-01,16.5,6.3
2018-08-02,17.4,5.8
2018-08-03,16.8,9.4
2018-08-04,15.8,3.1
2018-08-05,15.5,7.8
2018-08-06,14.6,5.6
2018-08-07,16.5,6.5
2018-08-08,17.5,9.6
2018-08-09,15.6,6.0
2018-08-10,16.8,4.3
2018-08-11,17.5,5.3
2018-08-12,17.8,4.5
2018-08-13,17.0,4.9
2018-08-14,15.7,10.5
2018-08-15,15.6,10.3
2018-08-16,15.8,9.4
2018-08-17,17.8,12.0
2018-08-18,15.6,8.3
2018-08-19,16.0,2.8
2018-08-20,15.6,7.2
2018-08-21,17.0,10.2
2018-08-22,14.3,9.4
2018-08-23,15.9,10.1
2018-08-24,15.7,5.9
2018-08-25,15.6,7.1
2018-08-26,16.1,9.6
2018-08-27,15.0,6.6
2018-08-28,17.3,4.8
2018-08-29,17.1,11.7
2018-08-30,17.8,6.9
2018-08-31,17.1,5.6
2018-09-01,18.6,5.8
2018-09-02,18.2,10.0
2018-09-03,17.2,9.1
2018-09-04,13.4,3.2
2018-09-05,13.6,6.6
2018-09-06,16.4,9.2
2018-09-07,12.9,9.3
2018-09-08,16.0,10.4
2018-09-09,17.3,9.7
2018-09-10,15.7,9.7
2018-09-11,15.8,10.9
2018-09-12,18.1,5.1
2018-09-13,18.2,6.3
2018-09-14,16.0,12.3
2018-09-15,17.4,8.6
2018-09-16,19.6,11.8
2018-09-17,18.2,13.3
2018-09-18,19.8,12.2
2018-09-19,17.4,13.9
2018-09-20,18.3,12.1
2018-09-21,21.0,12.0
2018-09-22,18.7,10.5
2018-09-23,18.0,6.9
2018-09-24,17.2,11.1
2018-09-25,18.1,9.5
2018-09-26,14.0,9.8
2018-09-27,15.4,9.9
2018-09-28,16.9,5.1
2018-09-29,16.3,3.8
2018-09-30,17.7,3.1
2018-10-01,19.0,9.8
2018-10-02,18.3,12.3
2018-10-03,18.8,7.2
2018-10-04,18.8,9.2
2018-10-05,18.1,6.9
2018-10-06,19.4,9.0
2018-10-07,19.9,9.4
2018-10-08,19.7,11.0
2018-10-09,18.9,5.5
2018-10-10,17.5,6.1
2018-10-11,18.0,5.3
2018-10-12,18.5,12.1
2018-10-13,16.9,7.4
2018-10-14,14.5,4.7
2018-10-15,17.1,4.8
2018-10-16,19.8,5.1
2018-10-17,17.2,11.7
2018-10-18,16.4,11.4
2018-10-19,17.8,6.8
2018-10-20,19.6,6.4
2018-10-21,21.3,10.6
2018-10-22,21.5,9.0
2018-10-23,21.4,8.7
2018-10-24,21.1,8.0
2018-10-25,21.0,9.9
2018-10-26,20.2,13.7
2018-10-27,19.3,9.4
2018-10-28,21.4,14.2
2018-10-29,20.4,12.2
2018-10-30,18.2,12.2
2018-10-31,15.9,9.7
2018-11-01,19.6,13.1
2018-11-02,16.3,10.9
2018-11-03,18.7,12.4
2018-11-04,19.4,14.6
2018-11-05,19.1,12.6
2018-11-06,18.8,10.1
2018-11-07,20.5,7.9
2018-11-08,21.0,15.1
2018-11-09,21.6,15.3
2018-11-10,23.4,11.7
2018-11-11,18.2,7.4
2018-11-12,20.0,12.8
2018-11-13,21.2,8.6
2018-11-14,20.5,10.8
2018-11-15,21.8,13.3
2018-11-16,21.5,10.0
2018-11-17,22.0,9.7
2018-11-18,22.2,10.6
2018-11-19,22.4,13.5
2018-11-20,18.1,5.8
2018-11-21,16.0,5.7
2018-11-22,17.6,8.7
2018-11-23,19.6,7.1
2018-11-24,21.2,15.5
2018-11-25,18.9,15.7
2018-11-26,21.9,13.0
2018-11-27,23.0,15.2
2018-11-28,22.1,14.6
2018-11-29,24.7,13.0
2018-11-30,23.9,17.8
2018-12-01,21.7,16.6
2018-12-02,20.3,17.6
2018-12-03,23.1,16.8
2018-12-04,21.5,16.7
2018-12-05,21.7,14.9
2018-12-06,21.1,12.3
2018-12-07,18.6,9.5
2018-12-08,19.6,12.0
2018-12-09,20.7,14.6
2018-12-10,21.2,16.0
2018-12-11,22.6,13.1
2018-12-12,23.8,15.4
2018-12-13,23.0,15.9
2018-12-14,23.9,17.2
2018-12-15,23.4,15.0
2018-12-16,23.2,14.5
2018-12-17,25.0,15.4
2018-12-18,26.0,15.1
2018-12-19,25.3,15.4
2018-12-20,24.3,16.5
2018-12-21,22.9,14.7
2018-12-22,22.0,14.2
2018-12-23,23.8,16.4
2018-12-24,20.7,18.5
2018-12-25,20.6,17.0
2018-12-26,21.7,16.6
2018-12-27,22.9,15.8
2018-12-28,21.7,13.3
2018-12-29,23.6,13.3
2018-12-30,24.6,13.2
2018-12-31,24.6,17.2
2019-01-01,23.1,18.0
2019-01-02,23.4,19.0
2019-01-03,25.1,15.7
2019-01-04,24.7,20.0
2019-01-05,23.6,14.4
2019-01-06,25.5,13.1
2019-01-07,25.4,15.8
2019-01-08,26.8,19.4
2019-01-09,24.5,14.4
